name,conf,vizLoc,glb3DLoc,goalSimilarity,searchPriority,depth
potted plant,0.87,"[195.8, 167.72]","[-1.68, 1.42, -0.66]",0.17,,3.03
microwave,0.56,"[110.31, 134.87]","[-0.19, 0.59, -2.57]",0.24,,3.17
bowl,0.46,"[232.99, 213.44]","[-1.68, 1.42, -0.66]",0.13,,1.37
umbrella,0.53,"[17.02, 12.39]","[-0.46, 0.34, 0.39]",0.12,,0.99
clock,0.83,"[178.62, 17.19]","[-1.16, 0.16, -0.04]",0.02,,1.03
oven,0.93,"[109.03, 209.43]","[-0.62, 1.46, -0.66]",0.29,,1.48
sink,0.35,"[6.55, 198.39]","[-1.67, 1.38, -0.73]",0.18,,1.24
broccoli,0.3,"[211.94, 196.98]","[-1.68, 1.42, -0.66]",0.16,,1.87
cup,0.79,"[253.11, 234.06]","[-1.64, 1.42, -0.34]",0.12,,1.07
boat,0.37,"[14.73, 109.83]","[-0.35, 0.71, 0.28]",0.06,,0.98
bottle,0.65,"[208.85, 184.39]","[-1.91, 1.44, -1.8]",0.07,,2.51
tv,0.33,"[290.39, 72.51]","[-1.57, 0.59, 0.15]",0.1,,0.88
car,0.34,"[192.56, 84.17]","[-1.53, 0.09, -1.35]",0.07,,2.09
dining table,0.29,"[56.21, 242.79]","[-0.64, 1.26, -0.07]",0.22,,0.76
